Model Name,AUCPR,AUROC
Logistic Regression,0.16993080569978955,0.3435700588457796
AdaBoost,0.24015899095819387,0.5195814386656687
KNN,0.24377819378028653,0.5024236063933911
XGBoost,0.23500701698236567,0.49564244733038215
