Model Name,AUCPR,AUROC
Logistic Regression,0.22596171982068494,0.49525823413314496
AdaBoost,0.22828754637707682,0.43612791717137117
KNN,0.2175222106343218,0.47544530570929305
XGBoost,0.257055374995247,0.5500093570288851
