Model Name,Accuracy,Recall,F1-Score
Logistic Regression,0.7637737239727289,0.0,0.0
AdaBoost,0.7637737239727289,0.0,0.0
KNN,0.7637123026841103,0.00026001040041601667,0.0005196154845414394
XGBoost,0.7579387015539586,0.01014040561622465,0.019407812888778304
