Model Name,Accuracy,Recall,F1-Score
AdaBoost,0.7790 ± 0.0151,0.4709 ± 0.1990,0.4740 ± 0.1360
KNN,0.7596 ± 0.0032,0.4228 ± 0.0989,0.4482 ± 0.0565
Logistic Regression,0.7787 ± 0.0127,0.4678 ± 0.1364,0.4900 ± 0.0671
XGBoost,0.7827 ± 0.0049,0.4137 ± 0.1775,0.4491 ± 0.1171
