Model Name,Accuracy,Recall,F1-Score
Logistic Regression,0.7637737239727289,0.0,0.0
AdaBoost,0.7637737239727289,0.0,0.0
KNN,0.7637737239727289,0.0,0.0
XGBoost,0.7535777900620355,0.0078003120124804995,0.014734774066797643
