Model Name,AUCPR,AUROC
Logistic Regression,0.21377486775145388,0.48717814172960966
AdaBoost,0.1855132297089871,0.37787972234611134
KNN,0.2278088326326495,0.4933135298873958
XGBoost,0.20140392049973624,0.4356987065972385
